"Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","gamalt","A","worms","Nfm"
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,"Apistobranchus tullbergi","B5",4,1999,1,"B5",4,"Apistobranchus tullbergi","129851",129851,178
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,"Apistobranchus tullbergi","B8A",1,2017,4,"B8",4,"Apistobranchus tullbergi","129851",129851,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,"Apistobranchus tullbergi","E4C",1,2015,4,"E4",4,"Apistobranchus tullbergi","129851",129851,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,"Apistobranchus tullbergi","B8",1,1999,1,"B8",1,"Apistobranchus tullbergi","129851",129851,44
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,"Apistobranchus tullbergi","E3A",1,2017,4,"E3",4,"Apistobranchus tullbergi","129851",129851,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,"Apistobranchus tullbergi","E3C",1,2017,4,"E3",4,"Apistobranchus tullbergi","129851",129851,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,"Apistobranchus tullbergi","E4",3,1999,1,"E4",3,"Apistobranchus tullbergi","129851",129851,133
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,"Apistobranchus tullbergi","E3A",1,2015,4,"E3",4,"Apistobranchus tullbergi","129851",129851,33
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,"Arctica islandica","B8B",5,2016,4,"B8",20,"Arctica islandica","138802",138802,167
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,"Arctica islandica","E3C",1,2014,1,"E3",1,"Arctica islandica","138802",138802,8
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,"Arctica islandica","U2C",1,2013,1,"U2",1,"Arctica islandica","138802",138802,8
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,"Arctica islandica","B8A",2,2016,4,"B8",8,"Arctica islandica","138802",138802,67
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,"Arctica islandica","C4C",1,2013,8,"C4",8,"Arctica islandica","138802",138802,67
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,"Arctica islandica","E4B",2,2016,4,"E4",8,"Arctica islandica","138802",138802,67
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,"Arctica islandica","B8C",5,2016,4,"B8",20,"Arctica islandica","138802",138802,167
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,"Arctica islandica","A7C",3,2016,4,"A7",12,"Arctica islandica","138802",138802,100
